"GEMS OPTOMETRY TARIFFS
WITH EFFECT FROM 2026-01-01",,070 - Network Optometrists,
Tariff Code,Tariff Description,2026 Tariff values,Flag
86ET005,1.59 ELITE Basic TRANSITIONS Gen S uncoated,"R3,752.50",
86ET006,1.67 ELITE HD Transitions Gen S uncoated,"R5,916.80",
86ET007,1.5 ELITE HD Polarized uncoated,"R3,727.20",
86ET008,1.6 ELITE HD Platinum Polarized  uncoated,"R8,159.30",
86ET011,1.5 ELITE HD uncoated,"R1,942.40",
86ET012,1.6 ELITE Basic uncoated,"R2,068.90",
86ET013,1.67 ELITE HD Platinum uncoated,"R5,868.50",
86ET014,1.5 ELITE Basic Transition Gen S uncoated,"R2,742.80",
86ET015,1.6 ELITE Basic Transitions Gen S  uncoated,"R3,752.50",
86ET016,1.67 ELITE HD Platinum Transitions Gen S uncoated,"R8,775.70",
86ET017,1.5 ELITE HD Platinum Polarized uncoated,"R5,130.20",
86ET021,1.5 ELITE HD Platinum uncoated,"R3,232.70",
86ET022,1.59 ELITE HD Poly uncoated,"R2,903.80",
86ET023,1.74 ELITE HD Platinum uncoated,"R8,065.00",
86ET024,1.5 ELITE HD Acclimates  uncoated,"R2,892.30",
86ET025,1.59 ELITE HD Transitions Gen S uncoated,"R4,753.00",
86ET032,1.6 ELITE HD uncoated,"R2,903.80",
86ET034,1.5 ELITE HD Transition Gen S  uncoated,"R3,752.50",
86ET035,1.6 ELITE HD Transition Gen S uncoated,"R4,753.00",
86ET042,1.6 ELITE HD Platinum uncoated,"R4,375.80",
86ET044,1.5 ELITE HD Platinum Transitions Gen S uncoated,"R5,696.00",
86ET045,1.6 ELITE HD Platinum Transitions Gen S uncoated,"R8,166.20",
86FC008,Focus Dynamic PRO- HD Polarized 1.6,"R5,615.50",
86FC012,Focus Dynamic S- HD 1.6,"R6,252.60",
86FC014,Focus Dynamic S- HD Transitions,"R6,892.00",
86FC015,Focus Dynamic S- HD Transitions 1.6,"R8,488.20",
86FC018,Focus Dynamic Life- HD Polarized 1.6,"R6,252.60",
86FC022,Focus Dynamic Life- HD 1.6,"R4,658.70",
86FC024,Focus Dynamic Life- HD Transitions,"R5,615.50",
86FC025,Focus Dynamic Life- HD Transitions 1.6,"R7,209.40",
86FC027,Focus Dynamic Life- HD Polarized,"R4,019.30",
86FC032,Focus Dynamic PRO- HD 1.6,"R3,699.60",
86FC034,Focus Dynamic PRO- HD Acclimates,"R3,062.50",
86FC035,Focus Dynamic PRO- HD Transitions 1.6,"R6,252.60",
86FC037,Focus Dynamic PRO- HD Polarized,"R3,062.50",
86FC038,Focus Dynamic Life Sport- HD Polarised 1.6,"R6,252.60",
86FC041,Focus Dynamic Life- HD,"R2,423.10",
86FC047,Focus Dynamic X- HD Polarized,"R2,423.10",
86FC061,Focus Dynamic PRO- HD,"R1,944.70",
86FC062,Focus Dynamic Life Sport- HD 1.6,"R4,658.70",
86FC072,Focus Dynamic Life Sport- HD Transitions 1.6,"R7,209.40",
86FC075,Focus Dynamic X- HD Transitions 1.6,"R5,615.50",
86FC085,Focus Dynamic X- HD Sunactive,"R1,944.70",
86FC092,Focus Dynamic X- HD 1.6,"R2,423.10",
86FC094,Focus Dynamic X- HD Acclimates,"R2,423.10",
86FC095,Focus Dynamic PRO- HD Sunactive,"R2,423.10",
86FC101,Focus Dynamic X- HD,R826.90,
86FC102,Focus Dynamic Life- HD Drive 1.6,"R4,658.70",
86FC104,Focus Dynamic X- HD Transitions,"R4,336.70",
86FC105,Focus Dynamic Life- HD Sunactive,"R3,062.50",
86FC111,Focus Dynamic S- HD,"R3,699.60",
86FC121,Focus Dynamic X- HD Blue Block,"R1,786.00",
86FC124,Focus Dynamic PRO- HD Transitions,"R4,978.40",
86FC131,Focus Dynamic PRO- HD Blue Block,"R2,423.10",
86FC141,Focus Dynamic Life- HD Blue Block,"R3,379.90",
86FC144,Focus Dynamic Life- HD Acclimates,"R3,699.60",
86FC151,Focus Dynamic Life Sport- HD,"R2,423.10",
86FC161,Focus Dynamic Life Sport- HD Transitions 1.5,"R5,615.50",
86FC171,Focus Dynamic Life Sport- HD Polarised 1.5,"R4,019.30",
86FC181,Focus Dynamic Life- HD Drive,"R2,423.10",
86FE001,Falcon Easy View DS 1.5 Uncoated,"R1,287.80",
86FE002,Falcon Easy View DS 1.59 Polycarb Clear Uncoated,"R1,927.60",
86FE003,Falcon Easy View DS 1.67 Clear Uncoated,"R3,003.00",
86FE004,Falcon Easy View DS 1.5 Acclimates Uncoated,"R2,007.30",
86FE005,Falcon DS 1.59 Polycarb Transitions Uncoated,"R4,464.30",
86FE006,Falcon DS 1.67 Transitions Uncoated,"R5,689.10",
86FE007,Falcon DS 1.5 Polarized Uncoated,"R2,375.70",
86FE011,Falcon DS 1.5 Clear Uncoated,"R2,174.10",
86FE012,Falcon Easy View DS 1.6 Clear Uncoated,"R2,161.60",
86FE013,Falcon DS 1.67 Clear Uncoated,"R3,901.70",
86FE014,Falcon DS 1.5 Acclimates Uncoated,"R2,756.60",
86FE015,Falcon DS 1.6 Transitions Uncoated,"R4,778.00",
86FE016,Falcon Ultra HD Digital 1.67 Transitions Uncoated,"R10,130.30",
86FE021,Falcon Ultra HD Digital 1.5 Clear Uncoated,"R4,193.00",
86FE022,Falcon DS 1.59 Polycarb Clear Uncoated,"R2,846.20",
86FE023,Falcon Ultra HD Digital 1.67 Clear Uncoated,"R8,069.00",
86FE024,Falcon DS 1.5 Transitions Uncoated,"R3,657.80",
86FE025,Falcon Ultra HD Digital 1.59 Polycarb Transitions Uncoated,"R7,484.00",
86FE026,Falcon Easy View DS 1.67 Transitions Uncoated,"R4,073.50",
86FE032,Falcon DS 1.6 Clear Uncoated,"R3,027.90",
86FE035,Falcon Ultra HD Digital 1.6 Transitions Uncoated,"R7,484.00",
86FE041,Falcon Entrada 1.5 Uncoated,R710.30,
86FE042,Falcon Ultra HD Digital 1.59 Polycarb Clear Uncoated,"R5,729.00",
86FE044,Falcon Ultra HD Digital 1.5 Transitions Uncoated,"R6,607.70",
86FE052,Falcon Ultra HD Digital 1.6 Clear Uncoated,"R5,729.00",
86FE075,Falcon Easy View DS 1.6 Transitions Uncoated,"R4,875.10",
86FE095,Falcon Entrada 1.56 Photochromic Uncoated,"R1,285.30",
86GK001,1.50  GKB Matrix  FF Clear Uncoated,R245.00,
86GK003,1.61  GKB Matrix  FF MR-8  Clear Uncoated,"R1,130.50",
86GK004,1.50  GKB Matrix  FF Transitions VII Grey/Brown Uncoated,"R2,269.00",
86GK005,1.59  GKB Matrix  FF Polycarbonate Transitions VII Grey Uncoated,"R4,454.00",
86GK006,1.61  GKB Matrix  FF Transitions VII Grey/Brown Uncoated,"R4,580.50",
86GK007,1.50  GKB Matrix  FF Polarized Grey/Brown/Green Uncoated,"R1,832.00",
86GK008,1.59  GKB Matrix  FF Polarised Polycarbonte Grey/ Brown  Uncoated,"R2,269.00",
86GK009,1.67  GKB Matrix  FF Polarized Grey/Brown/Green Uncoated,"R7,329.00",
86GK011,1.50  GKB Matrix FF Digital Gold  Clear  Uncoated,R567.00,
86GK012,1.59  GKB Matrix  FF Polycarbonate Clear Uncoated,"R1,832.00",
86GK013,1.67  GKB Matrix  FF Clear Uncoated,"R1,958.50",
86GK014,1.50  GKB Matrix FF  Digital Gold  Transitions VII Grey/Brown Uncoated,"R3,097.00",
86GK015,1.59  GKB Matrix FF Digital Gold  Polycarbonate Transitions VII Grey  Uncoated,"R5,845.50",
86GK016,1.67  GKB Matrix  FF Transitions VII Grey/Brown Uncoated,"R5,305.00",
86GK017,1.50  GKB Matrix FF  Digital Gold  Polarized Grey/Brown/Green Uncoated,"R2,556.50",
86GK018,1.60  GKB Matrix  FF Polarized Grey/Brown Uncoated,"R5,121.00",
86GK019,1.67  GKB Matrix FF Digital Gold  Polarized Grey/Brown  Uncoated,"R9,422.00",
86GK021,1.50  GKB Matrix FF Digital Patinum  Clear  Uncoated,R751.00,
86GK023,1.74  GKB Matrix  FF Clear Uncoated,"R3,729.50",
86GK024,1.50  GKB Matrix FF Digital Platinum  Transitions VII Grey/Brown Uncoated,"R3,660.50",
86GK025,1.56  GKB Matrix  FF Reactor Grey/Brown Uncoated,"R1,004.00",
86GK026,1.74  GKB Matrix  FF Transitions VII Grey/Brown Uncoated,"R9,422.00",
86GK027,1.50  GKB Matrix FF Digital Platinum  Polarized Grey/Brown/Green Uncoated,"R3,028.00",
86GK028,1.59  GKB Matrix FF Digital Gold Polarised Polycarbonate Grey/Brown Uncoated,"R3,097.00",
86GK029,1.67  GKB Matrix FF Digital Platinum Polarized Grey/Brown  Uncoated,"R10,687.00",
86GK032,1.59  GKB Matrix FF Digital Gold  Polycarbonate Clear Uncoated,"R2,556.50",
86GK033,1.61  GKB Matrix FF MR-8 Digital Gold  Clear Uncoated,"R1,671.00",
86GK034,1.50 GKB Matrix Acclimates Grey Uncoated,"R1,636.50",
86GK035,1.56  GKB Matrix FF Digital Gold  Reactor Grey/Brown Uncoated,"R1,510.00",
86GK036,1.61  GKB Matrix FF Digital Gold  Transitions VII Grey/Brown Uncoated,"R5,972.00",
86GK038,1.60  GKB Matrix FF Digital Gold  Polarized Grey/Brown Uncoated,"R6,696.50",
86GK042,1.59  GKB Matrix FF Digital Platinum  Polycarbonate Clear Uncoated,"R3,028.00",
86GK043,1.67  GKB Matrix FF Digital Gold  Clear Uncoated,"R2,683.00",
86GK045,1.60  GKB Matrix  FF Reactor Grey/Brown Uncoated,"R1,636.50",
86GK046,1.67  GKB Matrix FF Digital Gold  Transitions VII Grey/Brown Uncoated,"R6,892.00",
86GK048,1.59  GKB Matrix FF Digital Platinum Polarised Polycarbonate Grey/Brown Uncoated,"R3,603.00",
86GK053,1.74  GKB Matrix FF Digital Gold  Clear Uncoated,"R4,925.50",
86GK055,1.60 GKB Matrix FF Digital Gold  Reactor Grey/Brown Uncoated,"R2,269.00",
86GK056,1.74  GKB Matrix FF Digital Gold  Transitions VII Grey/Brown Uncoated,"R11,538.00",
86GK058,1.60  GKB Matrix FF Digital Platinum Polarized Grey/Brown Uncoated,"R7,616.50",
86GK063,1.61  GKB Matrix FF MR-8 Digital Platinum Clear Uncoated,"R2,016.00",
86GK065,1.56  GKB Matrix FF Digital Platinum  Reactor Grey/Brown Uncoated,"R1,832.00",
86GK066,1.61  GKB Matrix FF Digital Platinum Transitions VII Grey/Brown Uncoated,"R6,857.50",
86GK073,1.67  GKB Matrix FF Digital Platinum Clear Uncoated,"R3,189.00",
86GK075,1.59  GKB Matrix FF Digital Platinum  Polycarbonate Transitions VII Grey  Uncoated,"R6,696.50",
86GK076,1.67  GKB Matrix FF Digital Platinum Transitions VII Grey/Brown Uncoated,"R7,823.50",
86GK083,1.74  GKB Matrix FF Digital Platinum Clear Uncoated,"R5,684.50",
86GK085,1.60  GKB Matrix FF Digital Platinum Reactor Grey/Brown Uncoated,"R2,683.00",
86GK086,1.74  GKB Matrix FF Digital Platinum Transitions VII Grey/Brown Uncoated,"R13,021.50",
86GK096,1.67 GKB Matrix FF Reactor Grey Uncoated,"R2,683.00",
86GK106,1.67 GKB Matrix FF Digital Gold Reactor Grey Uncoated,"R3,603.00",
86GK116,1.67 GKB Matrix FF Digital Platinum Reactor Grey Uncoated,"R4,201.00",
86HL001,Hlm Optics DS Progressive 1.5 Uncoated,"R2,296.60",
86HL002,Hlm Optics DS Progressive 1.53 Uncoated,"R2,595.60",
86HL003,Hlm Optics DS Progressive 1.67 Uncoated,"R3,672.00",
86HL004,Hlm Optics DS Progressive Photo Fast activation 1.5 Uncoated,"R3,552.40",
86HL005,Hlm Optics DS Progressive Photo 1.56 Uncoated,"R2,834.80",
86HL006,Hlm Optics DS Progressive Photo Fast activation 1.67 Uncoated,"R5,111.80",
86HL012,Hlm Optics DS Progressive 1.6 Uncoated,"R2,954.40",
86HL015,Hlm Optics DS Progressive Photo Fast activation 1.53 Uncoated,"R4,389.60",
86HL025,Hlm Optics DS Progressive Photo Fast activation 1.6 Uncoated,"R4,628.80",
86HY002,Hoyalux Sportive High Curve 1.53 Uncoated,"R4,569.00",
86HY007,Amplitude Plus 1.50 Polarised Uncoated (Mini & Long),"R2,800.30",
86HY008,Summit Digi Eyas 1.60 Polarised Uncoated (CD & Pro),"R8,173.10",
86HY011,Maxxee M-Focal 1.50 uncoated,R433.60,
86HY018,Hoyalux Sportive High Curve PNX 1.53 Polarized Uncoated,"R6,961.00",
86HY019,Balansis Eynoa 1.67 Polarized Uncoated,"R7,625.70",
86HY023,Summit Eynoa 1.67 Uncoated (CD & Pro),"R3,488.00",
86HY026,Summit Eynoa 1.67 Sensity Uncoated (CD & Pro),"R6,188.20",
86HY027,Summit Digi 1.50 Polarised Uncoated (CD & Pro),"R3,308.60",
86HY028,Hoyalux Sportive High Curve Eyas 1.60 Polarized Uncoated,"R7,375.00",
86HY032,Amplitude Plus PNX 1.53 Uncoated (Mini & Long),"R1,629.60",
86HY037,Hoyalux Sportive High Curve 1.5 Polarized Uncoated,"R5,397.00",
86HY039,Daynamic Eynoa 1.67 Polarized Uncoated,"R6,786.20",
86HY043,Summit TF Eynoa 1.67 Uncoated (CD & Pro),"R4,040.00",
86HY046,Summit TF Eynoa 1.67 Sensity Uncoated (CD & Pro),"R6,740.20",
86HY047,Balansis 1.50 Polarized Uncoated,"R5,231.40",
86HY048,Balansis PNX 1.53 Polarized Uncoated,"R6,330.80",
86HY049,Amplitude Plus Eynoa 1.67 Polarised Uncoated (Mini & Long),"R4,932.40",
86HY051,Hoyalux Sportive High Curve 1.50,"R3,400.60",
86HY058,Balansis Eyas 1.60 Polarized Uncoated,"R6,671.20",
86HY067,Daynamic 1.5 Polarized Uncoated,"R4,534.50",
86HY071,Amplitude Plus 1.50 Uncoated (Mini & Long),R845.30,
86HY072,Summit PNX 1.53 Uncoated (CD & Pro),"R2,547.30",
86HY073,iD LifeStyle V+ Eynoa 1.67 Uncoated (Clarity & Harmony),"R6,372.20",
86HY076,iD LifeStyle V+ Eynoa 1.67 Sensity Uncoated (Clarity & Harmony),"R8,232.90",
86HY084,Summit 1.50 Sensity Uncoated (CD & Pro),"R3,577.70",
86HY085,Summit PNX 1.53 Sensity Uncoated (CD & Pro),"R5,139.40",
86HY088,Daynamic PNX 1.53 Polarized Uncoated,"R5,194.60",
86HY092,Summit Eyas 1.60 Uncoated (CD & Pro),"R2,800.30",
86HY093,iD LifeStyle V+ Eyvia 1.74 Uncoated (Clarity & Harmony),"R9,622.10",
86HY094,Summit 1.50 Transitions Uncoated (CD & Pro),"R3,439.70",X
86HY096,iD LifeStyle V+ X-Act Eynoa 1.67 Sensity Uncoated (Clarity & Harmony),"R8,934.40",
86HY098,Daynamic Eyas 1.60 Polarized Uncoated,"R5,886.90",
86HY103,iD LifeStyle V+ X-Act Eynoa 1.67 Uncoated (Clarity & Harmony),"R7,073.70",
86HY104,Summit TF 1.50 Sensity Uncoated (CD & Pro),"R4,132.00",
86HY105,Summit Eyas 1.60 Sensity Uncoated (CD & Pro),"R5,514.30",
86HY108,Amplitude Plus PNX 1.53 Polarised Uncoated (Mini & Long),"R3,766.30",
86HY111,Summit 1.50 (CD & Pro),"R1,726.20",
86HY112,Summit TF PNX 1.53 Uncoated (CD & Pro),"R3,101.60",
86HY113,iD LifeStyle V+ X-Act Eyvia 1.74 Uncoated (Clarity & Harmony),"R10,323.60",
86HY116,iD LifeStyle V+ X-Act EyeGenius Eynoa 1.67 Sensity Uncoated (Clarity & Harmony),"R9,385.20",
86HY125,Summit TF PNX 1.53 Sensity Uncoated (CD & Pro),"R5,691.40",
86HY131,Summit TF 1.50 Uncoated (CD & Pro),"R2,282.80",
86HY132,Summit TF Eyas 1.60 Uncoated (CD & Pro),"R3,356.90",
86HY134,iD LifeStyle V+ 1.50 Sensity  Uncoated (Clarity & Harmony),"R5,493.60",
86HY143,iD LifeStyle V+ X-Act EyeGenius Eynoa 1.67 Uncoated (Clarity & Harmony),"R7,524.50",
86HY145,Summit TF Eyas 1.60 Sensity Uncoated (CD & Pro),"R6,066.30",
86HY151,iD LifeStyle V+ X-Act EyeGenius 1.50 Uncoated (Clarity & Harmony),"R4,753.00",
86HY153,iD LifeStyle V+ X-Act EyeGenius Eyvia 1.74 Uncoated (Clarity & Harmony),"R10,779.00",
86HY164,iD LifeStyle V+ X-Act 1.50 Sensity Uncoated (Clarity & Harmony),"R6,188.20",
86HY171,iD LifeStyle V+ 1.50 Uncoated (Clarity & Harmony),"R3,591.50",
86HY172,iD LifeStyle V+ PNX 1.53 Uncoated (Clarity & Harmony),"R4,378.10",
86HY183,Balansis Eynoa 1.67 Uncoated,"R4,999.10",
86HY184,iD LifeStyle V+ X-Act EyeGenius 1.50 Sensity Uncoated (Clarity & Harmony),"R6,641.30",
86HY185,iD LifeStyle V+ PNX 1.53 Sensity Uncoated (Clarity & Harmony),"R6,266.40",
86HY186,Balansis Eynoa 1.67 Sensity Dark Uncoated,"R7,211.70",
86HY191,iD LifeStyle V+ X-Act 1.50 Uncoated (Clarity & Harmony),"R4,293.00",
86HY192,iD LifeStyle V+ Eyas 1.60 Uncoated (Clarity & Harmony),"R4,640.30",
86HY193,Enroute Progressive 1.67 uncoated,"R4,780.60",
86HY203,Enroute Pro Progressive 1.67 uncoated,"R4,992.20",
86HY205,iD LifeStyle V+ Eyas 1.60 Sensity Uncoated (Clarity & Harmony),"R6,526.30",
86HY211,Balansis 1.50 Uncoated,"R2,906.10",
86HY212,iD LifeStyle V+ X-Act PNX 1.53 Uncoated (Clarity & Harmony),"R5,077.30",
86HY213,Balansis Eyvia 1.74 Uncoated,"R8,603.20",
86HY214,Maxxee M-Focal 1.50 Photo Uncoated,"R1,705.50",
86HY222,iD LifeStyle V+ X-Act Eyas 1.60 Uncoated (Clarity & Harmony),"R5,334.90",
86HY225,iD LifeStyle V+ X-Act PNX 1.53 Sensity Uncoated (Clarity & Harmony),"R6,965.60",
86HY235,iD LifeStyle V+ X-Act Eyas 1.60 Sensity Uncoated (Clarity & Harmony),"R7,223.20",
86HY236,Daynamic Eynoa 1.67 Sensity Dark Uncoated,"R6,310.10",
86HY252,iD LifeStyle V+ X-Act EyeGenius PNX 1.53 Uncoated (Clarity & Harmony),"R5,443.00",
86HY256,Hoyalux iD MySelf 1.67 Eynoa Sensity Dark Uncoated,"R10,606.50",
86HY261,Daynamic 1.5 Uncoated,"R2,404.70",
86HY262,iD LifeStyle V+ X-Act EyeGenius Eyas 1.60 Uncoated (Clarity & Harmony),"R5,801.80",
86HY263,Daynamic Eynoa 1.67 Uncoated,"R4,233.20",
86HY265,iD LifeStyle V+ X-Act EyeGenius PNX 1.53 Sensity Uncoated (Clarity & Harmony),"R7,749.90",
86HY271,Hoyalux iD MySelf 1.5 Uncoated,"R5,594.80",
86HY273,Hoyalux iD MySelf 1.67 Eynoa Uncoated,"R8,755.00",
86HY275,iD LifeStyle V+ X-Act EyeGenius Eyas 1.60 Sensity Uncoated (Clarity & Harmony),"R7,676.30",
86HY276,Balansis Eynoa 1.67 Sensity 2.0 Uncoated,"R7,211.70",
86HY281,Sync 1.50 low add Uncoated,R0.00,
86HY283,Hoyalux iD MySelf 1.74  Eyvia Uncoated,"R12,899.60",
86HY292,Balansis PNX 1.53 Uncoated,"R3,858.30",
86HY293,Sync Eynoa 1.67 low add Uncoated,"R2,522.00",
86HY294,Hoyalux Sportive Sensity Dark High Curve 1.50,"R5,116.40",
86HY303,Amplitude Plus Eynoa 1.67 Uncoated (Mini & Long),"R2,756.60",
86HY304,Balansis 1.50 Sensity Dark Uncoated,"R5,118.70",
86HY306,Hoyalux iD MySelf 1.67 Eynoa Sensity 2.0 Uncoated,"R10,606.50",
86HY312,Enroute Progressive 1.6 uncoated,"R2,963.60",
86HY322,Enroute Pro Progressive 1.6 uncoated,"R3,177.50",
86HY336,Daynamic Eynoa 1.67 Sensity 2.0 Uncoated,"R6,310.10",
86HY342,YUNIKU Progressive Clear,"R6,924.20",X
86HY346,Sync Eynoa 1.67 low add Sensity Uncoated,"R5,282.00",
86HY354,Amplitude Plus 1.50 Sensity 2.0 Uncoated (Mini & Long),"R2,749.70",
86HY356,Amplitude Plus Eynoa 1.67 Sensity 2.0 Uncoated (Mini & Long),"R4,612.70",
86HY364,Daynamic 1.5 Sensity Dark Uncoated,"R4,053.80",
86HY366,Amplitude Plus Eynoa 1.67 Sensity Dark Uncoated (Mini & Long),"R4,612.70",
86HY384,Hoyalux iD MySelf 1.5 Sensity Dark Uncoated,"R7,609.60",
86HY394,Hoyalux Sportive High Curve 1.50 Sensity 2.0,"R5,116.40",
86HY395,YUNIKU Progressive Sensity,"R8,904.50",X
86HY402,Daynamic PNX 1.53 Uncoated,"R3,255.70",
86HY404,Balansis 1.50 Sensity 2.0 Uncoated,"R5,118.70",
86HY422,Maxxee M-Focal 1.60 Uncoated,"R1,544.50",
86HY434,Hoyalux iD MySelf 1.50 Sensity 2.0 Uncoated,"R7,609.60",
86HY442,Hoyalux iD MySelf 1.53 PNX Uncoated,"R6,809.20",
86HY462,Sync PNX 1.53 low add Uncoated,"R1,259.30",
86HY464,Daynamic 1.50 Sensity 2.0 Uncoated,"R4,053.80",
86HY465,Hoyalux Sportive Sensity Dark High Curve 1.60 Uncoated,"R7,195.60",
86HY474,Sync 1.50 low add Sensity Uncoated,"R2,052.80",
86HY484,Amplitude Plus 1.50 Sensity Dark Uncoated (Mini & Long),"R2,749.70",
86HY485,Balansis Eyas 1.60 Sensity Dark Uncoated,"R6,365.30",
86HY492,Amplitude Plus Polycarbonate 1.59 (Safety) Uncoated,"R1,901.00",
86HY502,Daynamic Polycarbonate 1.59 (Safety) Uncoated,"R3,474.20",
86HY575,Maxxee M-Focal 1.56 Photo Uncoated,"R1,378.90",
86HY585,Maxxee M-Focal 1.60 Photo Uncoated,"R2,800.30",
86HY605,Amplitude Plus PNX 1.53 Sensity 2.0 Uncoated (Mini & Long),"R3,757.10",
86HY615,Amplitude Plus Eyas 1.60 Sensity 2.0 Uncoated (Mini & Long),"R4,028.50",
86HY625,Daynamic Eyas 1.60 Sensity Dark Uncoated,"R5,599.40",
86HY655,Hoyalux iD MySelf 1.6 Eyas Sensity Dark Uncoated,"R9,601.40",
86HY665,Hoyalux Sportive High Curve Eyas 1.60 Sensity 2.0,"R7,195.60",
86HY675,Balansis Eyas 1.60 Sensity 2.0 Uncoated,"R6,365.30",
86HY705,Hoyalux iD MySelf 1.60 Eyas Sensity 2.0 Uncoated,"R9,601.40",
86HY735,Daynamic Eyas 1.60 Sensity 2.0 Uncoated,"R5,599.40",
86HY745,Sync PNX 1.53 low add Sensity Uncoated,"R3,630.60",
86HY755,Sync Eyas 1.60 low add Sensity Uncoated,"R3,828.40",
86HY765,Balansis PNX 1.53 Sensity 2.0 Uncoated,"R6,068.60",
86HY795,Hoyalux iD MySelf 1.53 PNX Sensity 2.0 Uncoated,"R8,860.80",
86HY815,Daynamic PNX 1.53 Sensity 2.0 Uncoated,"R5,332.60",
86HY825,Amplitude Plus Eyas 1.60 Sensity Dark Uncoated (Mini & Long),"R4,028.50",
86HY835,Amplitude Plus Polycarbonate 1.59 Sensity (Safety) Uncoated,"R3,998.60",
86HY845,Daynamic Polycarbonate 1.59 Sensity (Safety) Uncoated,"R5,525.80",
86KD061,Kodak Easy 1.50,"R1,075.30",
86KD071,Kodak Precise PB 1.50,R636.00,
86KD091,Kodak Unique 1.50,"R1,367.40",
86KD103,Kodak Easy 1.67,"R2,229.90",
86KD113,Kodak Precise PB 1.67,"R1,767.60",
86KD133,Kodak Unique 1.67,"R2,841.70",
86KD202,Kodak Easy 1.60,"R2,032.10",
86KD222,Kodak Precise PB 1.60,"R1,533.00",
86KD262,Kodak Unique 1.60,"R2,533.50",
86KF002,KF Incredible MF 1.6 Uncoated,"R2,055.10",
86KF003,KF Incredible MF 1.67 Uncoated,"R2,988.90",
86KF006,KF Incredible MF 1.67 Climateyes Uncoated,"R4,201.00",
86KF007,KF MF Polareyes Uncoated,"R1,889.50",
86KF011,KF Incredible 1.5 UNCOATED,R944.20,
86KF013,KF INCREDIBLE 1.67 FIT UNCOATED,"R3,476.50",
86KF014,KF Incredible MF 1.5 Climateyes Uncoated,"R1,827.40",
86KF021,KF INCREDIBLE MF 1.5 FIT UNCOATED,"R1,480.10",
86KF025,KF Incredible MF 1.6 Climateyes Uncoated,"R3,396.00",
86KF042,KF Incredible MF ProtectYourEyes Uncoated 1.53,"R1,673.30",
86KF045,KF Incredible MF ProtectYour Climateyes Uncoated 1.53,"R3,108.50",
86KF055,KF INCREDIBLE MF 1.6 FIT TRANSITION UNCOATED,"R3,754.80",
86KF062,KF INCREDIBLE MF 1.6 FIT UNCOATED,"R2,581.80",
86KF075,Incredible SI 1.53 ProtectYourClimateyes Uncoated,"R3,669.70",
86KF082,Incredible SI 1.53 ProtectYourEyes Uncoated,"R2,418.50",
86KL00Q,OAK OTD II Premium 1.59 Sun Solid Polarised PAL,"R2,183.00",
86KL01Q,OAK OTD II STD 1.59 Sun Grey Prizm PAL,"R2,636.10",
86KL02Q,OAK OTD II STD 1.59 Sun Grey Prizm Polarised PAL,"R3,072.40",
86KL03Q,OAK OTD II STD 1.59 Sun Iridium PAL,"R3,195.50",
86KL041,OAK OTD STD 1.50 Clear PAL,R584.40,
86KL04Q,OAK OTD II STD 1.59 Sun Iridium Prizm PAL,"R4,096.10",
86KL051,OAK OTD STD 1.50 Clear PAL Blue,R744.70,
86KL05Q,OAK OTD II STD 1.59 Sun Iridium Prizm Polarised PAL,"R3,995.40",
86KL061,OAK OTD ADV 1.50 Clear PAL,"R1,758.20",
86KL06Q,OAK OTD II STD 1.59 Sun Solid  PAL,"R1,735.40",
86KL071,OAK OTD ADV 1.50 Clear PAL Blue,"R1,920.00",
86KL073,OAK OTD ADV 1.67 Clear PAL,"R4,367.30",
86KL07Q,OAK OTD II STD Premium 1.59 Sun Iridium Polarised PAL,"R3,643.00",
86KL081,OAK OTD ADV+ Premium 1.50 Clear PAL,"R2,408.80",
86KL083,OAK OTD ADV 1.67 Clear PAL Blue,"R4,529.00",
86KL08Q,OAK OTD II STD Premium 1.59 Sun Iridium Prizm PAL,"R3,553.50",
86KL091,OAK OTD ADV+ Premium 1.50 Clear PAL Blue,"R2,558.40",
86KL093,OAK OTD ADV+ Premium 1.67 Clear PAL,"R4,820.70",
86KL09Q,OAK OTD II STD Premium 1.59 Sun Iridium Prizm Polarised PAL,"R4,538.10",
86KL101,OAK OTD Elite Top 1.50 Clear PAL,"R2,788.50",
86KL103,OAK OTD ADV+ Premium 1.67 Clear PAL Blue,"R4,970.30",
86KL10Q,OAK OTD STD 1.59 Sun Gold Iridium Prizm Polarised PAL,"R4,297.50",
86KL111,OAK OTD Elite Top 1.50 Clear PAL Blue,"R2,928.80",
86KL113,OAK OTD ADV+ Premium 1.74 Clear PAL,"R6,026.70",
86KL11Q,OAK OTD STD 1.59 Sun Grey Prizm PAL,"R2,395.50",
86KL123,OAK OTD ADV+ Premium 1.74 Clear PAL Blue,"R6,176.30",
86KL12Q,OAK OTD STD 1.59 Sun Grey Prizm Polarised PAL,"R2,831.90",
86KL133,OAK OTD Elite Top 1.67 Clear PAL,"R5,050.50",
86KL13Q,OAK OTD STD 1.59 Sun Iridium PAL,"R3,022.10",
86KL143,OAK OTD Elite Top 1.67 Clear PAL Blue,"R5,190.70",
86KL14Q,OAK OTD STD 1.59 Sun Iridium Polarised PAL,"R3,469.60",
86KL153,OAK OTD Elite Top 1.74 Clear PAL,"R6,181.50",
86KL15Q,OAK OTD STD 1.59 Sun Iridium Prizm PAL,"R3,855.60",
86KL163,OAK OTD Elite Top 1.74 Clear PAL Blue,"R6,321.70",
